id,created_at,title,provider,votes,level,description,category,outcomes,link,approved,image,tags,tech_tags,subcategory
40b36c00-2ea8-493c-abf6-aa1883eb6f58,2025-12-25T16:24:58.604140,Everyday AI Podcast: An AI and ChatGPT Podcast,Apple Podcasts,0,,"MAP- &RNR’s most recent AI, business, and consulting insights materials Q4 2025 as of 11-5-25.","Business Strategy, Operations &Functions",,https://podcasts.apple.com/us/podcast/everyday-ai-podcast-an-ai-and-chatgpt-podcast/id1683401861?i=1000736436436,False,,"#AITrends, #ConsultingIndustry, #ChatGPT, #BusinessStrategy, #AIConsulting, #AINews",,Core Business Functions / Research
53129395-040a-4d3b-9533-2a42f884d7ec,2025-12-25T16:24:58.604140,"Workera: Pricing, Free Demo & Features | Software Finder",Workera (via Software Finder),0,,An AI-first skills intelligence platform for building a competitive workforce through AI skills assessments for enterprises and individuals.,"AI Models, Tools &Platforms",,https://softwarefinder.com/hr/workera,False,,"#AIPlatforms, #EnterpriseAI, #StartupTools, #AIWorkforce, #ProfessionalDevelopmentFunction, #TrainingFunction, #HiringPractices",,Startup &Emergent Tech
e18fa6df-e38b-4c98-a982-ce31e6baf3bc,2025-12-25T16:24:58.604140,How to Leverage AI for Skill Verification - with Taylor Sullivan of Workera,Apple Podcasts,0,,"A podcast episode from 'The AI in Business Podcast' discussing leveraging AI for skill verification, relevant for assessing AI readiness.","Business Strategy, Operations &Functions",,https://podcasts.apple.com/us/podcast/how-to-leverage-ai-for-skill-verification-with-taylor/id670771965?i=1000736106728,False,,"#HumanResourcesFunction, #CareerResilience, #AIWorkforce, #BusinessStrategy, #TrainingFunction, #AIInstruction",,Core Business Functions / HR
f1977220-e809-4935-9d5e-0ba081d1ec07,2025-12-25T16:24:58.604140,"The AI Daily Brief: Artificial Intelligence News - How to Identify, Prioritize, and Measure AI Use Cases",Apple Podcasts,0,,"The final episode of an 'Agent Readiness' series, providing a framework for evaluating, prioritizing, and measuring AI use cases, and managing an AI portfolio.","Business Strategy, Operations &Functions",,https://podcasts.apple.com/us/podcast/the-ai-daily-brief-artificial-intelligence-news/id1680633614?i=1000735951146,False,,"#AgentBuilder, #OperationalEfficiency, #EnterpriseAI, #AIAgents, #Consulting, #BusinessStrategy, #AIApplications, #AILeadership",,Core Business Functions / TechDev
04032d63-ea7b-4343-a047-4bb3f0360a6a,2025-12-25T16:24:58.604140,Notebook LM upgrades,TikTok,0,,"A short video highlighting upgrades to Notebook LM, focusing on its ability to add context to information.","AI Models, Tools &Platforms",,https://www.tiktok.com/t/ZTMtHWYED/,False,,"#AIPlatforms, #ContextEngineering, #AIApplications, #LLMs, #TikTok",,Startup &Emergent Tech
de4b01ed-a5ae-4966-9738-5433ae80618f,2025-12-25T16:24:58.604140,Most people only use Perplexity for quick answers. they miss what it’s really built for. Perplexity isn’t a browser. It’s a full AI research system.,LinkedIn (Charlie Hills' post),0,,"A LinkedIn post explaining Perplexity's true potential as a comprehensive AI research system, advising users on how to leverage it beyond simple queries.","AI Models, Tools &Platforms",,https://www.linkedin.com/posts/charlie-hills_most-people-only-use-perplexity-for-quick-activity-7393240971196547072-oUrh?utm_medium=ios_app&rcm=ACoAAABnXhsB5wLaTf9oHl_ujpuFSW9t7Y_TnfQ&utm_source=social_share_send&utm_campaign=copy_link,False,,"#AIConnectors, #AIPlatforms, #LinkedIn, #IndustryResearchFunction, #AIBrowsers, #PromptEngineering, #Perplexity",,LLMs &Frameworks
92c31fc6-71e7-47e2-94ef-94f4e9b32ab9,2025-12-25T16:25:05.879083,WorkLearn Labs,WorkLearn Labs,0,,"AI-powered platform for companies and AI consultants to collaboratively map, analyze, prioritize, and launch AI initiatives that drive real value, transforming AI Ideas into Implementation-Ready Business Cases.","Business Strategy, Operations &Functions",,https://www.worklearnlabs.com/,False,,"#Strategy, #AIPlatforms, #EnterpriseAI, #Workflows, #ConsultingIndustry, #BusinessStrategy, #Innovation, #AIConsulting, #AIApplications, #ProcessMapping",,Core Business Functions / Strategy
cd5b7c2d-f36e-44bc-86fc-972bbd0e4501,2025-12-25T16:25:27.783600,Jasper,Jasper,0,,AI writing tool that apparently writes entire blogs.,"AI Models, Tools &Platforms",,https://www.jasper.ai/,False,,"#LLMs, #Marketing, #AIMarketing, #AIPlatforms",,LLMs &Frameworks
8cca45ad-5761-48b3-96c2-fabb180a8eaa,2025-12-25T16:25:27.783600,Copy.ai,Copy.ai,0,,"AI writing tool, potentially a cheaper alternative to Jasper.","AI Models, Tools &Platforms",,https://copy.ai,False,,"#LLMs, #Marketing, #AIMarketing, #AIPlatforms",,LLMs &Frameworks
c10da8ee-2678-4240-8b2c-1d584d302ea0,2025-12-25T16:25:27.783600,Descript,Descript,0,,Video editing tool that works by editing text.,"AI Models, Tools &Platforms",,https://www.descript.com,False,,#AIPoweredDesign,,Design &Media Creation
f0daa0f4-385e-4833-a50e-28ec750dafcf,2025-12-25T16:25:27.783600,Synthesia,Synthesia,0,,"Platform for creating avatars, usable for training manuals instead of hiring actors.","AI Models, Tools &Platforms",,https://www.synthesia.io/,False,,"#AIPoweredDesign, #ImageGeneration, #AIInstruction",,Design &Media Creation
7bfef7d2-47ad-46e3-b96d-bdd03e4e6d96,2025-12-25T16:25:27.783600,Canva Magic,Canva,0,,"AI-enhanced design tools within Canva, considered as a potential replacement for Adobe subscription.","AI Models, Tools &Platforms",,https://www.canva.com/magic/,False,,"#AIPoweredDesign, #ImageEditing",,Design &Media Creation
0b1c4124-0756-458c-99ae-84965af66a2e,2025-12-25T16:25:27.783600,Gemini,Google,0,,"Google’s AI model, formerly known as Bard.","AI Models, Tools &Platforms",,https://www.google.com/bard,False,,"#LLMs, #Gemini",,LLMs &Frameworks
